tld	verdict	host	needle	reason
xn--imr513n	no-server			IANA lists no WHOIS server for this TLD
xn--io0a7i	accept	whois.ngtld.cn	the queried object does not exist	needle verified against both probes
xn--j1aef	accept	whois.nic.xn--j1aef	no match for	needle verified against both probes
xn--j1amh	reject	whois.dotukr.com		no DNS-proven registered name found under .xn--j1amh
xn--j6w193g	reject	whois.hkirc.hk		no DNS-proven registered name found under .xn--j6w193g
xn--jlq480n2rg	no-server			IANA lists no WHOIS server for this TLD
xn--jvr189m	accept	whois.nic.xn--jvr189m	domain not found	needle verified against both probes
xn--kcrx77d1x4a	reject	whois.nic.xn--kcrx77d1x4a		free probe: back end resting after repeated failures
xn--kprw13d	reject	whois.twnic.net.tw		registered google.xn--kprw13d reads as UNKNOWN (whois answered for google.台灣)
xn--kpry57d	reject	whois.twnic.net.tw		registered google.xn--kpry57d reads as UNKNOWN (whois answered for google.台灣)
xn--kput3i	accept	whois.nic.xn--kput3i	no matching record	needle verified against both probes
xn--l1acc	reject	whois.mn		free probe: whois.mn: timed out
xn--lgbbat1ad8j	reject	whois.nic.dz		no DNS-proven registered name found under .xn--lgbbat1ad8j
xn--mgb9awbf	reject	whois.registry.om		no DNS-proven registered name found under .xn--mgb9awbf
xn--mgba3a3ejt	no-server			IANA lists no WHOIS server for this TLD
xn--mgba3a4f16a	reject	whois.nic.ir		no DNS-proven registered name found under .xn--mgba3a4f16a
xn--mgba7c0bbn0a	reject	whois.nic.xn--mgba7c0bbn0a		free probe: back end resting after repeated failures
xn--mgbaam7a8h	reject	whois.aeda.net.ae		no DNS-proven registered name found under .xn--mgbaam7a8h
xn--mgbab2bd	accept	whois.nic.xn--mgbab2bd	the queried object does not exist	needle verified against both probes
xn--mgbah1a3hjkrd	reject	whois.nic.mr		no DNS-proven registered name found under .xn--mgbah1a3hjkrd
xn--mgbai9azgqp6j	no-server			IANA lists no WHOIS server for this TLD
xn--mgbayh7gpa	no-server			IANA lists no WHOIS server for this TLD
xn--mgbbh1a	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--mgbbh1a
xn--mgbbh1a71e	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--mgbbh1a71e
xn--mgbc0a9azcg	no-server			IANA lists no WHOIS server for this TLD
xn--mgbca7dzdo	accept	whois.nic.xn--mgbca7dzdo	no data found	needle verified against both probes
xn--mgbcpq6gpa1a	no-server			IANA lists no WHOIS server for this TLD
xn--mgberp4a5d4ar	reject	whois.nic.net.sa		free probe: whois.nic.net.sa: [Errno 61] Connection refused
xn--mgbgu82a	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--mgbgu82a
xn--mgbi4ecexp	reject	whois.nic.xn--mgbi4ecexp		free probe: back end resting after repeated failures
xn--mgbpl2fh	no-server			IANA lists no WHOIS server for this TLD
xn--mgbt3dhd	no-server			IANA lists no WHOIS server for this TLD
xn--mgbtx2b	reject	whois.cmc.iq		free probe: resolving whois.cmc.iq: [Errno 8] nodename nor servname provided, or not known
xn--mgbx4cd0ab	reject	whois.mynic.my		no DNS-proven registered name found under .xn--mgbx4cd0ab
xn--mix891f	reject	whois.monic.mo		no DNS-proven registered name found under .xn--mix891f
xn--mk1bu44c	accept	whois.nic.xn--mk1bu44c	no match for	needle verified against both probes
xn--mxtq1m	reject	whois.nic.xn--mxtq1m		registered nic.xn--mxtq1m reads as UNKNOWN (whois answered for nic.政府)
xn--ngbc5azd	reject	whois.nic.xn--ngbc5azd		free probe: back end resting after repeated failures
xn--ngbe9e0a	accept	whois.nic.xn--ngbe9e0a	is available for registration	needle verified against both probes
xn--ngbrx	accept	whois.nic.xn--ngbrx	no data found	needle verified against both probes
xn--node	no-server			IANA lists no WHOIS server for this TLD
xn--nqv7f	accept	whois.nic.xn--nqv7f	domain not found	needle verified against both probes
xn--nqv7fs00ema	accept	whois.nic.xn--nqv7fs00ema	domain not found	needle verified against both probes
xn--nyqy26a	no-server			IANA lists no WHOIS server for this TLD
xn--o3cw4h	reject	whois.thnic.co.th		no DNS-proven registered name found under .xn--o3cw4h
xn--ogbpf8fl	reject	whois.tld.sy		no DNS-proven registered name found under .xn--ogbpf8fl
xn--otu796d	no-server			IANA lists no WHOIS server for this TLD
xn--p1acf	no-server			IANA lists no WHOIS server for this TLD
xn--p1ai	reject	whois.tcinet.ru		no DNS-proven registered name found under .xn--p1ai
xn--pgbs0dh	reject	whois.ati.tn		unregistered nmtq49gi6crrmjij.xn--pgbs0dh reads as UNKNOWN (unrecognised whois response)
xn--pssy2u	accept	whois.nic.xn--pssy2u	no match for	needle verified against both probes
xn--q7ce6a	reject	whois.nic.la		no DNS-proven registered name found under .xn--q7ce6a
xn--q9jyb4c	no-server			IANA lists no WHOIS server for this TLD
xn--qcka1pmc	no-server			IANA lists no WHOIS server for this TLD
xn--qxa6a	reject	whois.eu		no DNS-proven registered name found under .xn--qxa6a
xn--qxam	no-server			IANA lists no WHOIS server for this TLD
xn--rhqv96g	no-server			IANA lists no WHOIS server for this TLD
xn--rovu88b	accept	whois.nic.xn--rovu88b	domain not found	needle verified against both probes
xn--rvc1e0am3e	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--rvc1e0am3e
xn--s9brj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--s9brj9c
xn--ses554g	reject	whois.nic.xn--ses554g		free probe: whois.nic.xn--ses554g: timed out
xn--t60b56a	accept	whois.nic.xn--t60b56a	no match for	needle verified against both probes
xn--tckwe	accept	whois.nic.xn--tckwe	no match for	needle verified against both probes
xn--tiq49xqyj	reject	whois.nic.xn--tiq49xqyj		free probe: back end resting after repeated failures
xn--unup4y	no-server			IANA lists no WHOIS server for this TLD
xn--vermgensberater-ctb	accept	whois.nic.xn--vermgensberater-ctb	the queried object does not exist	needle verified against both probes
xn--vermgensberatung-pwb	accept	whois.nic.xn--vermgensberatung-pwb	the queried object does not exist	needle verified against both probes
xn--vhquv	no-server			IANA lists no WHOIS server for this TLD
xn--vuq861b	accept	whois.teleinfo.cn	no matching record	needle verified against both probes
xn--w4r85el8fhu5dnra	accept	whois.nic.xn--w4r85el8fhu5dnra	domain not found	needle verified against both probes
xn--w4rs40l	accept	whois.nic.xn--w4rs40l	domain not found	needle verified against both probes
xn--wgbh1c	no-server			IANA lists no WHOIS server for this TLD
xn--wgbl6a	reject	whois.registry.qa		no DNS-proven registered name found under .xn--wgbl6a
xn--xhq521b	accept	whois.ngtld.cn	the queried object does not exist	needle verified against both probes
xn--xkc2al3hye2a	no-server			IANA lists no WHOIS server for this TLD
xn--xkc2dl3a5ee0h	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--xkc2dl3a5ee0h
xn--y9a3aq	reject	whois.amnic.net		no DNS-proven registered name found under .xn--y9a3aq
xn--yfro4i67o	reject	whois.zh.sgnic.sg		no DNS-proven registered name found under .xn--yfro4i67o
xn--ygbi2ammx	reject	whois.pnina.ps		free probe: whois.pnina.ps: [Errno 61] Connection refused
xn--zfr164b	accept	whois.nic.xn--zfr164b	the queried object does not exist	needle verified against both probes
yachts	accept	whois.nic.yachts	the queried object does not exist	needle verified against both probes
yahoo	accept	whois.nic.yahoo	domain not found	needle verified against both probes
yamaxun	no-server			IANA lists no WHOIS server for this TLD
yandex	accept	whois.nic.yandex	is available for registration	needle verified against both probes
ye	accept	whois.y.net.ye	not found	needle verified against both probes
yodobashi	reject	whois.nic.gmo		identical answer for a free and a registered name
yoga	reject	whois.nic.yoga		free probe: back end resting after repeated failures
yokohama	reject	whois.nic.yokohama		identical answer for a free and a registered name
you	no-server			IANA lists no WHOIS server for this TLD
youtube	no-server			IANA lists no WHOIS server for this TLD
yun	reject	whois.teleinfo.cn		identical answer for a free and a registered name
zappos	no-server			IANA lists no WHOIS server for this TLD
zara	no-server			IANA lists no WHOIS server for this TLD
zero	accept	whois.nic.zero	domain not found	needle verified against both probes
zip	no-server			IANA lists no WHOIS server for this TLD
zm	accept	whois.zicta.zm	the queried object does not exist	needle verified against both probes
zuerich	accept	whois.nic.zuerich	the queried object does not exist	needle verified against both probes
